sentence_id,source_english,human_translation_1,human_translation_2,human_translation_3,reviewer_notes,model1,model2,model3
1,"You enjoy city life, but I prefer the quiet of the countryside.",,,,,,,
2,"Ali stayed up all night studying, while he didn’t even open his book.",,,,,,,
3,"You might think it’s boring, but I find it fascinating.",,,,,,,
4,"Even Melis managed to catch the train, yet you missed it again.",,,,,,,
5,She believes in miracles; he believes in hard work.,,,,,,,
6,You see only the problem; I see the opportunity.,,,,,,,
7,"He wanted to speak, but she chose silence.",,,,,,,
8,"You may have forgotten, but I remember everything.",,,,,,,
9,He admires tradition; she embraces change.,,,,,,,
10,"You act before thinking, while I plan every move.",,,,,,,
11,"Even the children understood the lesson, yet she kept explaining it.",,,,,,,
12,"You might ignore the warning, but I take it seriously.",,,,,,,
13,He came early to help; she showed up just for dessert.,,,,,,,
14,"You complain about the noise, but I like the energy.",,,,,,,
15,She spends her money freely; he saves every coin.,,,,,,,
16,You want comfort; I seek adventure.,,,,,,,
17,He treats life like a race; she treats it like a journey.,,,,,,,
18,"You stay safe on the shore, but I dive into the waves.",,,,,,,
19,She speaks with passion; he listens with patience.,,,,,,,
20,"You strive for perfection, while I aim for progress.",,,,,,,
21,"Even the shy students asked questions, though you stayed silent.",,,,,,,
22,He works for recognition; she works for purpose.,,,,,,,
23,You follow rules blindly; I question everything.,,,,,,,
24,"She trusts easily, but he doubts constantly.",,,,,,,
25,You find joy in crowds; I find peace alone.,,,,,,,
26,He builds connections; she builds walls.,,,,,,,
27,"You avoid challenges, but I welcome them.",,,,,,,
28,She writes poetry; he studies physics.,,,,,,,
29,"You think success is luck, but I think it’s effort.",,,,,,,
30,"Even the youngest member contributed ideas, yet you said nothing.",,,,,,,
31,"You love summer, but I wait for winter.",,,,,,,
32,"He arrived early, while she didn’t even bother showing up.",,,,,,,
33,"I value honesty, but you prefer convenience.",,,,,,,
34,"She speaks quickly, yet he takes his time to respond.",,,,,,,
35,"You focus on appearance, while I care about substance.",,,,,,,
36,"He reads novels, but I prefer documentaries.",,,,,,,
37,She practices every day; he plays only when inspired.,,,,,,,
38,"You find peace in silence, but I thrive on noise.",,,,,,,
39,"He saves every penny, while she spends without thinking.",,,,,,,
40,"I enjoy social events, but you always look for an excuse to leave.",,,,,,,
41,He works for success; she works for joy.,,,,,,,
42,"You trust easily, but I question everyone.",,,,,,,
43,"She forgives quickly, yet he holds grudges.",,,,,,,
44,"I like order, but you seem to love chaos.",,,,,,,
45,"He follows the rules, while she challenges them.",,,,,,,
46,"You want quick results, but I believe in patience.",,,,,,,
47,"She dreams big, but he fears failure.",,,,,,,
48,"I took responsibility, but you walked away from it.",,,,,,,
49,"He chose security, while I chose adventure.",,,,,,,
50,"You may hesitate, but I will take the risk.",,,,,,,
51,"You enjoy staying indoors, whereas I like being outside from dawn to dusk.",,,,,,,
52,"He trusts people easily, but she questions everyone’s intentions.",,,,,,,
53,"They follow every rule, while we prefer to bend them when necessary.",,,,,,,
54,"She speaks her mind openly, yet he keeps his thoughts to himself.",,,,,,,
55,"I like planning every detail, but you prefer to act on impulse.",,,,,,,
56,"We focus on long term goals, whereas they chase quick wins.",,,,,,,
57,"You see only the risks, but I notice the potential benefits.",,,,,,,
58,"He reacts emotionally, while she responds in a very logical way.",,,,,,,
59,"They enjoy loud parties, but we look for quiet evenings at home.",,,,,,,
60,"I try to resolve conflicts gently, whereas you confront issues directly.",,,,,,,
61,"She invests in experiences, while he spends most of his money on gadgets.",,,,,,,
62,"You keep everything organized, but I leave things where they land.",,,,,,,
63,"He prefers working alone, whereas she thrives in a busy team.",,,,,,,
64,"They celebrate every small win, but we save our energy for the big ones.",,,,,,,
65,"I enjoy learning new languages, while you focus mainly on numbers.",,,,,,,
66,"She adapts quickly to change, but he clings to his usual routines.",,,,,,,
67,"We share information freely, whereas they guard every detail.",,,,,,,
68,"You treat mistakes as failures, but I treat them as practice.",,,,,,,
69,"He talks confidently in public, while she prefers to write her ideas.",,,,,,,
70,"They travel whenever possible, whereas we rarely leave our hometown.",,,,,,,
71,I lost my phone again. Why am I always so careless?,,,,,,,
72,He missed today’s meeting. He never checks his schedule properly.,,,,,,,
73,The laptop froze once more. It always breaks at the worst time.,,,,,,,
74,I burned the toast this morning. I just can’t cook properly.,,,,,,,
75,She forgot to reply to me again. She’s always terrible at texting back.,,,,,,,
76,We argued last night. We keep fighting over the smallest things.,,,,,,,
77,I fell asleep on the bus today. That always happens when I stay up too late.,,,,,,,
78,He crashed his bike again. He just never learns to slow down.,,,,,,,
79,My plan fell apart. I rarely see things go as I expect.,,,,,,,
80,The meeting ran late again. We always end up wasting so much time.,,,,,,,
81,I spilled coffee on my shirt. I’m constantly ruining my clothes.,,,,,,,
82,They missed the train again. They can’t manage time properly.,,,,,,,
83,I missed the deadline. I always underestimate how long tasks take.,,,,,,,
84,She skipped breakfast again. She never takes care of herself.,,,,,,,
